Invoice_Number,Amount,Posting_Date,Vendor_Name,GL_Account,Created_By,Approved_By,Entry_Type,Description
INV-10075,517.95,2026-03-26,TechSupplies Inc,6040-Freight & Delivery,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10075
INV-10076,4020.78,2026-03-15,TechSupplies Inc,6050-Maintenance,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10076
INV-10077,2392.97,2026-03-20,Metro Facilities,6050-Maintenance,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10077
INV-10078,5220.53,2026-03-24,Delta Freight,6050-Maintenance,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10078
INV-10079,3145.43,2026-03-08,CloudScale Networks,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10079
INV-10080,541.1,2026-03-11,OfficeDepot Co,6020-IT Cloud Infra,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10080
INV-10081,1417.91,2026-03-05,CloudScale Networks,6020-IT Cloud Infra,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10081
INV-10082,882.02,2026-03-02,Delta Freight,6030-Consulting Fees,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10082
INV-10083,2210.79,2026-03-01,Metro Facilities,6010-Office Expense,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10083
INV-10084,2787.16,2026-03-08,Delta Freight,6040-Freight & Delivery,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10084
INV-10085,2576.79,2026-03-06,Delta Freight,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10085
INV-10086,5424.6,2026-03-19,Metro Facilities,6050-Maintenance,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10086
INV-10087,519.19,2026-03-02,Delta Freight,6020-IT Cloud Infra,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10087
INV-10088,1779.08,2026-03-09,Delta Freight,6030-Consulting Fees,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10088
INV-10089,4788.77,2026-03-24,OfficeDepot Co,6010-Office Expense,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10089
INV-10090,5348.41,2026-03-02,OfficeDepot Co,6020-IT Cloud Infra,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10090
INV-10091,5380.08,2026-03-05,CloudScale Networks,6010-Office Expense,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10091
INV-10092,869.53,2026-03-06,CloudScale Networks,6040-Freight & Delivery,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10092
INV-10093,5238.05,2026-03-19,TechSupplies Inc,6020-IT Cloud Infra,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10093
INV-10094,1578.37,2026-03-19,Delta Freight,6040-Freight & Delivery,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10094
INV-10095,3667.86,2026-03-26,TechSupplies Inc,6030-Consulting Fees,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10095
INV-10096,2687.27,2026-03-28,OfficeDepot Co,6010-Office Expense,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10096
INV-10097,2701.28,2026-03-05,Delta Freight,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10097
INV-10098,3928.95,2026-03-14,OfficeDepot Co,6050-Maintenance,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10098
INV-10099,3752.68,2026-03-15,OfficeDepot Co,6020-IT Cloud Infra,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10099
INV-10100,2454.69,2026-03-16,Metro Facilities,6040-Freight & Delivery,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10100
INV-10101,1773.95,2026-03-09,CloudScale Networks,6030-Consulting Fees,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10101
INV-10102,4464.23,2026-03-07,OfficeDepot Co,6050-Maintenance,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10102
INV-10103,3643.45,2026-03-16,Delta Freight,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10103
INV-10104,2926.38,2026-03-13,TechSupplies Inc,6010-Office Expense,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10104
INV-10105,2067.6,2026-03-17,Metro Facilities,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10105
INV-10106,5172.74,2026-03-15,Metro Facilities,6030-Consulting Fees,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10106
INV-10107,1406.69,2026-03-24,TechSupplies Inc,6020-IT Cloud Infra,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10107
INV-10108,4158.74,2026-03-16,CloudScale Networks,6020-IT Cloud Infra,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10108
INV-10109,3097.68,2026-03-27,Metro Facilities,6050-Maintenance,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10109
INV-10110,1242.26,2026-03-18,CloudScale Networks,6030-Consulting Fees,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10110
INV-10111,298.03,2026-03-05,TechSupplies Inc,6050-Maintenance,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10111
INV-10112,4223.52,2026-03-16,TechSupplies Inc,6010-Office Expense,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10112
INV-10113,1191.27,2026-03-27,TechSupplies Inc,6030-Consulting Fees,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10113
INV-10114,2494.22,2026-03-26,Metro Facilities,6010-Office Expense,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10114
INV-10115,1898.49,2026-03-20,CloudScale Networks,6010-Office Expense,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10115
INV-10116,1840.06,2026-03-10,Metro Facilities,6040-Freight & Delivery,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10116
INV-10117,5835.54,2026-03-24,OfficeDepot Co,6050-Maintenance,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10117
INV-10118,3863.09,2026-03-08,CloudScale Networks,6030-Consulting Fees,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10118
INV-10119,470.49,2026-03-20,TechSupplies Inc,6040-Freight & Delivery,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10119
INV-10120,458.49,2026-03-22,OfficeDepot Co,6030-Consulting Fees,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10120
INV-10121,1449.75,2026-03-18,Metro Facilities,6020-IT Cloud Infra,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10121
INV-10122,868.05,2026-03-06,OfficeDepot Co,6020-IT Cloud Infra,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10122
INV-10123,3687.23,2026-03-15,Metro Facilities,6030-Consulting Fees,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10123
INV-10124,4026.79,2026-03-03,OfficeDepot Co,6050-Maintenance,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10124
INV-10125,4858.35,2026-03-03,OfficeDepot Co,6050-Maintenance,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10125
INV-10126,3491.73,2026-03-27,Metro Facilities,6050-Maintenance,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10126
INV-10127,352.07,2026-03-06,CloudScale Networks,6040-Freight & Delivery,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10127
INV-10128,4791.08,2026-03-14,Delta Freight,6010-Office Expense,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10128
INV-10129,3536.41,2026-03-16,CloudScale Networks,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10129
INV-10130,4879.51,2026-03-11,Metro Facilities,6010-Office Expense,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10130
INV-10131,719.35,2026-03-28,Delta Freight,6050-Maintenance,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10131
INV-10132,2424.09,2026-03-25,CloudScale Networks,6050-Maintenance,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10132
INV-10133,2526.35,2026-03-05,TechSupplies Inc,6020-IT Cloud Infra,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10133
INV-10134,3378.15,2026-03-20,Delta Freight,6010-Office Expense,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10134
INV-10135,4274.52,2026-03-14,OfficeDepot Co,6050-Maintenance,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10135
INV-10136,5005.39,2026-03-27,TechSupplies Inc,6040-Freight & Delivery,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10136
INV-10137,4739.18,2026-03-27,OfficeDepot Co,6050-Maintenance,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10137
INV-10138,2662.81,2026-03-07,Delta Freight,6050-Maintenance,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10138
INV-10139,3693.33,2026-03-11,CloudScale Networks,6010-Office Expense,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10139
INV-10140,3768.45,2026-03-19,TechSupplies Inc,6030-Consulting Fees,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10140
INV-10141,5519.86,2026-03-11,CloudScale Networks,6040-Freight & Delivery,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10141
INV-10142,3082.97,2026-03-08,Delta Freight,6030-Consulting Fees,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10142
INV-10143,1557.15,2026-03-16,Delta Freight,6010-Office Expense,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10143
INV-10144,4608.63,2026-03-05,Delta Freight,6020-IT Cloud Infra,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10144
INV-10145,3268.98,2026-03-15,TechSupplies Inc,6040-Freight & Delivery,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10145
INV-10146,736.3,2026-03-11,CloudScale Networks,6010-Office Expense,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10146
INV-10147,2432.73,2026-03-21,TechSupplies Inc,6030-Consulting Fees,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10147
INV-10148,4370.19,2026-03-21,Metro Facilities,6010-Office Expense,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10148
INV-10149,1963.0,2026-03-25,CloudScale Networks,6010-Office Expense,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10149
INV-10150,4816.17,2026-03-02,Delta Freight,6020-IT Cloud Infra,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10150
INV-10151,466.49,2026-03-08,OfficeDepot Co,6030-Consulting Fees,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10151
INV-10152,3174.86,2026-03-20,CloudScale Networks,6020-IT Cloud Infra,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10152
INV-10153,4023.37,2026-03-15,CloudScale Networks,6040-Freight & Delivery,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10153
INV-10154,2760.39,2026-03-18,TechSupplies Inc,6040-Freight & Delivery,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10154
INV-10155,2291.61,2026-03-14,OfficeDepot Co,6050-Maintenance,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10155
INV-10156,2817.1,2026-03-04,OfficeDepot Co,6020-IT Cloud Infra,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10156
INV-10157,2985.74,2026-03-27,Metro Facilities,6030-Consulting Fees,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10157
INV-10158,1862.78,2026-03-25,Metro Facilities,6010-Office Expense,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10158
INV-10159,3760.94,2026-03-09,OfficeDepot Co,6020-IT Cloud Infra,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10159
INV-10160,4117.05,2026-03-26,CloudScale Networks,6010-Office Expense,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10160
INV-10161,3163.65,2026-03-24,CloudScale Networks,6010-Office Expense,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10161
INV-10162,1253.62,2026-03-09,Metro Facilities,6030-Consulting Fees,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10162
INV-10163,5825.79,2026-03-03,OfficeDepot Co,6030-Consulting Fees,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10163
INV-10164,4901.1,2026-03-26,Delta Freight,6050-Maintenance,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10164
INV-10165,1555.47,2026-03-24,TechSupplies Inc,6040-Freight & Delivery,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10165
INV-10166,3429.06,2026-03-01,OfficeDepot Co,6010-Office Expense,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10166
INV-10167,5151.29,2026-03-03,OfficeDepot Co,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10167
INV-10168,2780.73,2026-03-02,OfficeDepot Co,6040-Freight & Delivery,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10168
INV-10169,2844.41,2026-03-18,Delta Freight,6010-Office Expense,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10169
INV-10170,2339.29,2026-03-21,Metro Facilities,6040-Freight & Delivery,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10170
INV-10171,2498.77,2026-03-12,Delta Freight,6030-Consulting Fees,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10171
INV-10172,2339.27,2026-03-12,CloudScale Networks,6030-Consulting Fees,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10172
INV-10173,5243.26,2026-03-07,OfficeDepot Co,6010-Office Expense,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10173
INV-10174,6297.39,2026-03-21,Delta Freight,6010-Office Expense,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10174
INV-10175,525.71,2026-03-07,OfficeDepot Co,6020-IT Cloud Infra,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10175
INV-10176,3860.12,2026-03-11,CloudScale Networks,6050-Maintenance,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10176
INV-10177,4615.32,2026-03-05,Metro Facilities,6010-Office Expense,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10177
INV-10178,4344.23,2026-03-12,TechSupplies Inc,6010-Office Expense,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10178
INV-10179,1899.54,2026-03-02,OfficeDepot Co,6010-Office Expense,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10179
INV-10180,2171.59,2026-03-25,TechSupplies Inc,6010-Office Expense,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10180
INV-10181,3174.66,2026-03-02,Delta Freight,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10181
INV-10182,5129.3,2026-03-01,Metro Facilities,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10182
INV-10183,2428.36,2026-03-23,Delta Freight,6040-Freight & Delivery,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10183
INV-10184,1458.8,2026-03-05,TechSupplies Inc,6030-Consulting Fees,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10184
INV-10185,3313.78,2026-03-17,Metro Facilities,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10185
INV-10186,2689.94,2026-03-21,Delta Freight,6010-Office Expense,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10186
INV-10187,3706.76,2026-03-14,CloudScale Networks,6040-Freight & Delivery,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10187
INV-10188,2459.21,2026-03-11,Delta Freight,6010-Office Expense,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10188
INV-10189,2370.04,2026-03-27,CloudScale Networks,6040-Freight & Delivery,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10189
INV-10190,2205.22,2026-03-18,OfficeDepot Co,6020-IT Cloud Infra,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10190
INV-10191,3724.53,2026-03-02,Delta Freight,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10191
INV-10192,4560.6,2026-03-22,OfficeDepot Co,6010-Office Expense,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10192
